Message_body,Label,Id
NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?,0,446
Ic. There are a lotta childporn cars then.,0,24
Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,1,746
Nt jest seriously ane recite,0,1340
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,1,909
Dear where you. Call me,0,279
2nd. this bequeath increase the chance of deliver the goods.,0,1293
Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,0,742
Do I? I thought I put it back in the box,0,221
Ü yet get deterrent example? Ü in sch?,0,1273
Do you hide anythiing or keeping distance from me,0,926
K. I will sent it again,0,82
Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,0,750
Once spare shout taboo me sir.,0,1157
"My fri ah. .. Okie lor, goin foursome my drivin den go shoppin after federated states of micronesia. ..",0,1413
I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,0,398
Any way where are you and what doing.,0,438
I will reach ur home in  &lt;#&gt;  minutes,0,362
Ok. .. Let u noe when i pull up stakes my star sign.,0,1148
Schoolbook & meet someone sexy today. Atomic number 92 give the axe find a date operating theatre of operations even flirt its improving to U. Juncture 4 just 10p. answer with gens & geezerhood eg Sam 25. xviii - monosodium glutamate recd @ thirtyeight penny,1,1353
individual! Your 2003 Accounting Program line for 078,1,1438
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,1,513
My uncles in Atlanta. Wish you guys a great semester.,0,848
"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx",0,301
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,343
You have 1 new message. Call 0207-083-6089,1,189
"K I'll head out in a few mins, see you there",0,197
yes baby! I need to stretch open your pussy!,0,710
Buckeye state for fuck ' s sake she ' south in like capital of everglade state,0,1206
Nokia phone is lovly..,0,705
Had your wandering xi month or more? Uranium Universal natural gas constant entitled to Update to the belated people of colour mobile with photographic camera for Free! Bid The Mobile river Update Co FREE on 08002986030,1,1313
Charles dudley charles dudley warner Hamlet 83118 C Colin James thomas farrell in SWAT this wkend @ Charles dudley warner Village & get 1 destitute med. Zea mays everta! Just show msg + tatter @ cell. Valid 4 - 7 / xii. C t & ampere 2nd @ booth. Reply SONY 4 mre film offer,1,1282
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,1013
Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,1,815
We are suppose to deal with to discourse abt our tripper. .. Thought xuhui enjoin you? In the afternoon. Idea we send away go for lesson after that,0,1153
Jus finish watching tv... U?,0,253
I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :),0,1044
"Sorry, Ane ' ll telephone call option subsequently",0,1367
I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?,0,893
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1,427
"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",0,778
Pls speak with me. I wont ask anything other then you friendship.,0,306
"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",0,460
My sister going to earn more than me da.,0,256
Thanx a hatful quaternary ur aid!,0,1376
Wow and then sizable. Old airport rd lor. Cant thk of anything else. But i ' ll b bathe my dog later.,0,1259
"I know you are thinkin malaria. Only relax, kid cant handle malaria. She would have been worse and it gastroenteritis. If she takes enough to exchange her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting unwellness she give which intend in a few days it volition wholly stop",0,1142
I ask if u meeting da ge tmr nite...,0,159
Ok i vl. . behave u go ane fix adsense approved..,0,1269
No no. I will check all rooms befor activities,0,477
"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",1,958
"Oh yes, why is it like torture watching england?",0,640
Ugh my leg hurts. Musta overdid it on mon.,0,369
Yup ok...,0,604
I dont know exactly could you ask chechi.,0,176
Well she's in for a big surprise!,0,313
Huh y lei...,0,6
"Jay wants to work out first, how's 4 sound?",0,330
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,1000
Wat time r ü going to xin's hostel?,0,834
We have pizza if u desire,0,1327
"Yeah, probably here for a while",0,286
How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,0,185
Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,0,429
"Garbage dish, nut, muddle, pelf, hannaford picket yellow chex",0,1160
Birdsong Germany for only 1 centime per min! Call from a frozen line via access code code number 0844 861 85 eighty five. No prepayment. Verbatim admittance!,1,1155
Yeah so basically any time next week you can get away from your mom &amp; get up before 3,0,518
Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,1,619
So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,0,87
How much you got for cleaning,0,953
Oh yeah clearly it's my fault,0,294
Great! How is the office today?,0,547
K. I will sent it again,0,80
Sac needs to carry on:),0,120
Yar. .. Iodine yearling u knew orcus would come about long ago already.,0,1194
Po de :-):):-):-):-). No need job aha.,0,735
"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",1,4
"Ohioan state yes, why be it like torment determine england?",0,1302
Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,1,378
It's ok i wun b angry. Msg u aft i come home tonight.,0,1039
Surly ill give it to you:-) while coming to review.,0,875
East coast,0,156
Omg how do u bonk what Single eat up?,0,1105
Wif my family booking tour package.,0,859
"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",0,700
Anything lor. Juz both of u. second. a. lor.,0,1410
You are a prominent chic. Green. Declare,0,1379
Go fool dont cheat others ok,0,558
Just come home. I don't want u to be miserable,0,768
Ok lor ü reaching then message me.,0,97
1 cant pick the telephone flop instantly. Pls get off a sum,0,1320
You are gorgeous! keep those pix cumming :) thank you!,0,590
"Guy, no new york minute me like a shot. If you hold up call pine tree state, bid maine. How madam. Involve guardianship buckeye state of matter.",0,1347
Atomic number 53 ' one thousand fine. Promise you are also,0,1175
Sitting in mu waiting for everyone to get out of my suite so I can take a shower,0,648
Iodine sent them. Comport you wish?,0,1170
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",0,443
"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",0,444
Did u mend the teeth? if non attend it asap. okeh accept care.,0,1147
I desire to tell you how bad Single feel that basically the solitary clock time I text you previous are when I take drugs,0,1319
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,0,32
So that takes away some money worries,0,123
Straight off get down footstep two outta the way. Congrats once over again.,0,1167
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1,981
Sorry district attorney. . today i wont sum of money to act. . single detention drive clas..,0,1296
"Its reassuring, in this crazy world.",0,59
Networking job is there.,0,583
O we cant see if we can join denis and mina? Or does denis want alone time,0,787
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,997
Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,0,785
"A few people are at the mystical plan, Atomic number 53 ' m at the shopping center with iouri and kaila",0,1382
Pls she needs to dat slowly or she will vomit more.,0,349
Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,1,332
How many times i told in the stage all use to laugh. You not listen aha.,0,531
Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,0,422
Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,0,592
Ya very nice. . .be ready on thursday,0,824
Thanks  and ! Or bomb and date as my phone wanted to say! ,0,709
What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,0,758
Wewa be cxxx. Iriver 255. All 128 mebibyte.,0,1427
Piddle lumber in desert. Geoenvironmental implication.,0,1403
"Just dropped em off, omw back now",0,650
Try to behave something beloved. You register something for exams,0,1385
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1,976
Chrysanthemum morifolium not buy the farm robinson already.,0,1342
Pls give her prometazine sirup. 5mls then & lt; # & gt; min later fertilise.,0,1365
Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),0,486
"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",0,76
Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,0,527
cuss! We are trying to strive you. Last weekend draw show that you won a £ g plunder GUARANTEED. Anticipate 09064012160. Claim Computer code K52. Valid 12hrs simply. 150ppm,1,1346
Can you pls send me that company name. In saibaba colany,0,51
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,986
Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,0,1071
Gr8. Soh how perform you manage the victoria falls island dealing. Positive when ' s the album due,0,1087
5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,1,497
Entropy technology imply uracil could not keep ur speech.,0,1266
NOT ENUFCREDEIT TOCALL. SHALL ILEAVE UNI astatine half dozen + GET Axerophthol rider vehicle TO YOR HOUSE?,0,1156
Yay can't wait to party together!,0,730
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,1,202
Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,0,776
Atomic number 39 diamond state ask corresponding this.,0,1291
Ofcourse Iodin as advantageously upload some song,0,1308
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,0,265
"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",0,469
Okie,0,380
Sent me ur email id shortly,0,1091
Wen did you get so spiritual and deep. That's great,0,20
No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,0,14
Oops i thk i dun haf enuff... I go check then tell ü..,0,852
"Cool, what time you think you can get here?",0,21
Got smaller capacity one? Quite ex...,0,747
Hither is your price reduction pace computer codification RP176781. To arrest farther messages reply blockade. www. regalportfolio. co. u. kb. . Customer Divine service 08717205546,1,1096
Sorry about that this is my mates phone and i didnt write it love Kate,0,471
watever reLation atomic number 92 built astir in orcus world simply thing which endure atlast iz lonlines with lotz due north lot memories! touch sensation..,0,1441
"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",1,372
"Undecomposed aurora, my Dear. .. Champion conk to sleep straight off and wish you a great sidereal day total of feeling honest and chance. .. You are my last thought sister, I LOVE YOU * kiss *",0,1154
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,1006
Dear are you angry i was busy dear,0,164
I be in infirmary da. . Ane will deliver home in still out,0,1227
HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!?????ud evening...,0,170
HELLO PEACH! MY CAKE TASTS LUSH!,0,843
"Geeeee ... Your internet is really bad today, eh ?",0,509
"Er, hello, things didnt quite go to plan  is limping slowly home followed by aa and with exhaust hanging off",0,762
I represent in infirmary da. . Top notch testament return home in evening,0,1311
"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",1,839
"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",0,756
Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,0,9
And he ' s plainly bffs with carly quick now,0,1229
Yup ok. ..,0,1234
Artium magister slow in utilisation biola ' s fne,0,1307
Did u got that persons story,0,922
Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),0,856
God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,0,64
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,284
"fyi I'm at usf now, swing by the room whenever",0,754
Sweet heart how are you?,0,241
CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,1,563
That's one of the issues but california is okay. No snow so its manageable,0,727
"buckeye state RITE. fountainhead IM WITH MY BEST checkmate PETE, world health organization Atomic number 53 give out OUT WITH 4 Angstrom unit WEEK + NOW WERE 2GEVA AGAIN. ITS BEEN thirster THAN A calendar week.",0,1399
Wishing you a wonderful week.,0,242
Oh ho. Is this the first time u use these type of words,0,929
U all the same havent catch urself a cap diadem ah?,0,1334
K.k.this month kotees birthday know?,0,473
Receive you reckon world health organisation ' reciprocal ohm backwards at Holby?!,0,1348
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,1,390
"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",0,244
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,0,267
Real execute hope the work doesnt consume stressful. Accept a gr8 daytime.,0,1219
"Yea, belike hither for a patch",0,1137
ask 3MOBILE IF 0870 CHATLINES INCLU atomic bit 49 FREE hokkianese. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV Axerophthol female parent fucker. BAILIFF DUE IN day. Unity O £ 250 trine neediness £ 800,1,1322
Ane ' mb vivek:) i mystify call from your phone identification number.,0,1215
No. Yes please. Been swimming?,0,903
"Dear Sir, Salam Alaikkum. Pridefulness and Pleasure meeting you today at the Teatime Workshop. We follow majestic of to send you our contact number at Katar. Rakhesh an Amerindic. Pls save our Number. Respectful Regards.",0,1107
You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,0,55
Or just do that 6times,0,680
"Total disappointment, when I texted you was the craziest shit got :(",0,43
Sorry i missed your call. Can you please call back.,0,483
Hmmm.still we dont have opener?,0,519
Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,0,860
"I know you are thinkin malaria. Just relax, child cant handle malaria. She would have been worse and its gastroenteritis. If she takes decent to replace her going her temporary worker will reduce. And if you yield her malaria meds now she will simply vomit. Its a self limiting sickness she has which signify in a few days it bequeath completely stop",0,1151
", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",0,86
A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,1,204
....photoshop makes my computer shut down.,0,729
Ding me on ya break fassyole! Blacko from londn,0,462
"Hey, iouri gave me your number, I'm wylie, ryan's friend",0,209
As usual u hind end prognosticate me ard x smth.,0,1258
MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,0,413
Hahaha..use your brain dear,0,254
Water logging in desert. Geoenvironmental implications.,0,394
I cant pick the phone right now. Pls send a message,0,669
Hawai ' 1 mom we powerfulness live back after than & lt; # & gt;,0,1203
Armand says get your ass over to epsilon,0,28
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",1,1054
They finally came to fix the ceiling.,0,944
God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,0,919
YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,1,336
goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,1,582
"Sorry, Iodine ' ll margin vociferation later",0,1201
Dunno lei shd b beat back lor colorado atomic number 53 corrupt the farm sch i hr oni.,0,1401
I tilt plunk the telephone set rightfulness similar a shot. Pls send off a message,0,1265
Will you come online today night,0,660
My hard worker! I need you to take 2 or tierce video of yourself today in bright christ within on your cell phone! Bright clarification!,0,1188
2 and half years i missed your friendship:-),0,670
"A few people are at the game, I'm at the mall with iouri and kaila",0,601
Omg if its non one subject information technology another. My computed axile tomography take worms: / when do this bad sidereal day end?,0,1440
Send me the new number,0,673
alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,0,686
Im good! I have been thinking about you...,0,745
You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,0,652
Ofcourse I also upload some songs,0,84
URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50,1,1059
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",1,5
Gettin rdy to ship comp,0,1076
Cashbin. co. united realm (Get lot of cash this weekend!) www. cashbin. co. uk Dear Welcome to the weekend We have get our biggest and good EVER cash give way aside! ! These..,1,1223
lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,1,690
"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",0,635
Wot about on wed nite I am 3 then but only til 9!,0,440
It is a good thing I'm now getting the connection to bw,0,888
Anything live valuable in alone two situations: Initiate sentence - Before getting information technology. .. 2nd - After let loose it. ..,0,1083
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",0,129
K sure am in my relatives home. Sms me de. Pls:-),0,387
O ic lol. Should play 9 doors sometime yo,0,523
"Not for possession, especially not first offense",0,830
"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",0,26
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,0,261
Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,0,863
Shall I get us a breast feeding bottle of wine colored to keep indorse usa divert? Alone joke! I  ll bring one anyway,0,1146
Compliments to you. Make up aside from the system. How your incline of heart.,0,1117
"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",0,515
As usual u can call me ard 10 smth.,0,684
"K I'm leaving soon, be there a little after 9",0,320
Hi babe its maine thanks for coming yet though it didnt go that well! unity simply wanted my bed! Bobsleigh hope to image you before long lovemaking and osculation xxx,0,1104
I will come clutch of ur dwelling in & lt; # & gt; minutes,0,1405
WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,0,656
Our Prasanth ettans mother passed away last night. Just pray for her and family.,0,911
Did you see that film:),0,307
Are you staying in town ?,0,885
thanks for the temales it was wonderful. Thank. Have a great week.,0,325
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",0,214
So u wan 2 come for our dinner tonight a not?,0,298
Bounty modulation on the uworld web site. Am i purchase the qbank only surgery am i purchasing information engineering with the self importance judgement besides?,0,1312
Its a part of checking IQ,0,328
"Hi Chikku, send some nice msgs",0,445
IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO ,0,898
"The guy at the car shop world health organization was flirting with pine tree state got my earpiece identification number from the paperwork and called and texted me. Single ' m anxious because of course of action now he may accept my address. Should i call his gaffer and say him, knowing this may get him fired?",0,1355
